Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-10-01T00:00+02:00;2022-10-02T00:00+02:00;01.10.2022;1;8078;100;24;24;0;0;100;7743;335;110;117;105;3;3;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-10-01T00:00+02:00;2022-10-02T00:00+02:00;01.10.2022;2;7906;100;24;24;0;2;99,97;7600;304;83;116;104;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-10-01T00:00+02:00;2022-10-02T00:00+02:00;01.10.2022;Totalt i retning Kval¯ya;8079;100;24;24;0;0;100;7744;335;110;117;105;3;3;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-10-01T00:00+02:00;2022-10-02T00:00+02:00;01.10.2022;Totalt i retning Troms¯;7905;100;24;24;0;2;99,97;7599;304;83;116;104;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-10-01T00:00+02:00;2022-10-02T00:00+02:00;01.10.2022;Totalt;15984;100;24;24;0;2;99,99;15343;639;193;233;209;4;4;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-10-02T00:00+02:00;2022-10-03T00:00+02:00;02.10.2022;1;6810;100;24;24;0;0;100;6537;273;84;98;88;3;3;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-10-02T00:00+02:00;2022-10-03T00:00+02:00;02.10.2022;2;7413;100;24;24;0;0;100;7115;298;91;118;88;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-10-02T00:00+02:00;2022-10-03T00:00+02:00;02.10.2022;Totalt i retning Kval¯ya;6810;100;24;24;0;0;100;6537;273;84;98;88;3;3;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-10-02T00:00+02:00;2022-10-03T00:00+02:00;02.10.2022;Totalt i retning Troms¯;7413;100;24;24;0;0;100;7115;298;91;118;88;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-10-02T00:00+02:00;2022-10-03T00:00+02:00;02.10.2022;Totalt;14223;100;24;24;0;0;100;13652;571;175;216;176;4;4;0
