Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;4;3;5;100,0;31;31;0;4;0,0;1;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;6;4;8;100,0;31;31;0;6;0,0;2;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;6;4;8;100,0;31;31;0;6;0,0;Totalt i retning Planetariet/UIT;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;4;3;5;100,0;31;31;0;4;0,0;Totalt i retning UNN;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;10;7;13;100,0;31;31;0;10;0,0;Totalt;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;8;5;11;100,0;28;28;0;8;0,0;1;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;11;9;13;100,0;28;28;0;11;0,0;2;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;11;9;13;100,0;28;28;0;11;0,0;Totalt i retning Planetariet/UIT;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;8;5;11;100,0;28;28;0;8;0,0;Totalt i retning UNN;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;19;14;24;100,0;28;28;0;19;0,0;Totalt;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;11;8;14;100,0;31;31;0;11;0,0;1;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;14;10;18;100,0;31;31;0;14;0,0;2;-;-;-;-;-;-;-;-
